chemical,n_samples,median_abs_delta,frac_abs_gt_1,sd_delta
Cyclopiazonic acid,115,0.5832786560058594,0.35816847989459616,1.1328147649765015
Amiodarone hydrochloride,118,0.5135383605957031,0.33747650383412897,1.1648378372192383
4-Hydroxytamoxifen,116,0.38501453399658203,0.2887483327398591,1.0375434160232544
Hoechst 33258,115,0.3720550537109375,0.13563992872447103,0.7155776619911194
Oligomycin,117,0.35274314880371094,0.1555395347420367,0.6636741161346436
Raloxifene hydrochloride,30,0.25603580474853516,0.08387692082808018,0.5512627363204956
Nigericin,119,0.24196720123291016,0.06813200167432566,0.5374958515167236
Nystatin dihydrate,118,0.24018478393554688,0.06168901298033964,0.52205890417099
Parthenolide,118,0.23874282836914062,0.10866451461188191,0.6060410141944885
Trichostatin A,119,0.2248058319091797,0.04153248075194646,0.4607587158679962
Wortmannin,116,0.21636390686035156,0.0452132610016842,0.4702228307723999
Emodin,118,0.20090484619140625,0.031329751137514045,0.40977248549461365
Desipramine hydrochloride,117,0.1897716522216797,0.04559359764008577,0.436331182718277
LY 294002 hydrochloride,118,0.18430519104003906,0.04450111844716239,0.47258615493774414
Sorbitol,349,0.1802349090576172,0.027029198145889544,0.3977769911289215
Pentamidine isethionate,119,0.17576980590820312,0.02728185746567468,0.39944255352020264
NaCl,349,0.1717395782470703,0.02482898482175083,0.3856734037399292
Harmine hydrochloride,117,0.1716318130493164,0.024910420330287845,0.38226282596588135
"(1R, 2S, 5R) - (-) - Menthol",114,0.16771316528320312,0.05039634811110408,0.47856634855270386
Clomiphene citrate,117,0.16639137268066406,0.025639481052619838,0.3703272044658661
Valinomycin,114,0.16254043579101562,0.02008979287655297,0.35167035460472107
Hydroxyurea,356,0.1605968475341797,0.022309189365746405,0.3710515797138214
Tunicamycin,115,0.1604480743408203,0.024896321249781906,0.3775331377983093
CHX,327,0.1564788818359375,0.02797379178144271,0.38793960213661194
Amphotericin B,353,0.15590667724609375,0.027207974046389246,0.3835580348968506
Nocodazole,117,0.15512466430664062,0.02152541696769304,0.3770924508571625
Trifluoperazine dihydrochloride,120,0.1533985137939453,0.022280595579935017,0.3597658574581146
Haloperidol,119,0.1511211395263672,0.017488702821966868,0.33661824464797974
Artemisinin,117,0.15044212341308594,0.01751055224908606,0.33685141801834106
Clotrimazole,117,0.1504230499267578,0.016554628512021708,0.33395692706108093
1-10 Phenanthroline monohydrate,213,0.1500091552734375,0.02053283885603274,0.35239964723587036
Brefeldin A,234,0.1480712890625,0.017821583710008547,0.33851733803749084
Sulfometuron methyl,120,0.1477985382080078,0.015409937689043746,0.32521873712539673
Geldanamycin,118,0.14760971069335938,0.01675873045594982,0.33159664273262024
Staurosporine,94,0.14703750610351562,0.018707218100586138,0.3363838791847229
Anisomycin,238,0.1441173553466797,0.015110429824287563,0.32342132925987244
U-73122,117,0.14254188537597656,0.013551906358315814,0.3145577013492584
Rapamycin,346,0.13729000091552734,0.018206767811942724,0.33795878291130066
EDTA,699,0.13546180725097656,0.015616350240872245,0.32464492321014404
Dyclonine hydrochloride,80,0.13528060913085938,0.011356364435190404,0.2986049950122833
SDS,346,0.1324787139892578,0.014907149643393814,0.314831405878067
Cisplatin,349,0.1289234161376953,0.014380615692845917,0.3115748465061188
FCCP,356,0.12203788757324219,0.011633317822242903,0.29158008098602295
