model,split,metric,mean,ci_lo,ci_hi,n,vs_benchmark_mean_diff,vs_benchmark_ci_lo,vs_benchmark_ci_hi,vs_benchmark_n_paired,vs_benchmark_p_two_sided
lgb_delta,val_chem_only,fold_change_pcc,0.4389816584558255,0.4314282961293007,0.446637912151696,1065,-0.04759129937113236,-0.05328990782387551,-0.0426347957636077,1065.0,0.001
lgb_delta,val_chem_only,residual_pcc_vs_mu_ctx,0.39958638208331854,0.38944400083096387,0.4096297314257441,1065,-0.05317523158680777,-0.06375683586424523,-0.0442861537865168,1065.0,0.001
lgb_delta,val_chem_only,residual_pcc_vs_mu_drug,0.42760188852383524,0.4186467758528042,0.43601301232003215,1065,-0.06011212866810191,-0.06850971292650103,-0.05334407934011304,1065.0,0.001
lgb_delta,val_chem_only,residual_pcc_vs_batch_aware_mu_ctx,0.18873265739166958,0.17617776477248304,0.19991362399590268,1065,0.18836607327243693,0.17571868681997385,0.1997125585956247,1065.0,0.001
lgb_delta,val_chem_only,abundance_pcc,0.9892860227058153,0.9888859084588926,0.9896624651447258,1065,-0.003992484148595774,-0.004266913758113255,-0.003741981668541205,1065.0,0.001
lgb_delta,val_strain_only,fold_change_pcc,0.27794489322907995,0.2664878526807508,0.2897848967140305,1333,0.00027634802971426695,-0.011003142433405399,0.011774825301680938,1333.0,0.974
lgb_delta,val_strain_only,residual_pcc_vs_mu_ctx,0.31656381684128715,0.3081068094142291,0.32556204638195546,1333,0.021785503246592213,0.011801640779885336,0.031648515166534,1333.0,0.001
lgb_delta,val_strain_only,residual_pcc_vs_mu_drug,0.25287332185213207,0.24172417743521696,0.26309970631593377,1333,-0.047526096359179086,-0.05735928643087121,-0.03788907441035778,1333.0,0.001
lgb_delta,val_strain_only,residual_pcc_vs_batch_aware_mu_ctx,0.36685133486898974,0.3595043390687285,0.3742555643109792,1333,0.05797475314890901,0.04890567791778727,0.06622908551894696,1333.0,0.001
lgb_delta,val_strain_only,abundance_pcc,0.9882901331027217,0.9877653461578824,0.9887675437239399,1333,0.007234304322848983,0.006961477089663905,0.007500732170789531,1333.0,0.001
lgb_delta,val_both,fold_change_pcc,0.16548202701121906,0.14869894583733806,0.18116166461646377,269,-0.07999030322279492,-0.09732380713101985,-0.06315535670762001,269.0,0.001
lgb_delta,val_both,residual_pcc_vs_mu_ctx,0.21743249275200693,0.20348163818495407,0.2323430088524447,269,-0.06334860849495542,-0.08018070594719648,-0.04745459672151041,269.0,0.001
lgb_delta,val_both,residual_pcc_vs_mu_drug,0.17811712703896662,0.16303002500389832,0.1914718549853602,269,-0.08908947374306085,-0.10528500138107146,-0.07427560073241733,269.0,0.001
lgb_delta,val_both,residual_pcc_vs_batch_aware_mu_ctx,0.25686163622789027,0.22981329750709595,0.28194113575811763,269,-0.03803257302126135,-0.06657503094862091,-0.012789930323803069,269.0,0.004
lgb_delta,val_both,abundance_pcc,0.9873614634971369,0.9863661166354994,0.988260006891706,269,0.0039706048843411775,0.003276477457988513,0.004638196880189277,269.0,0.001
lgb_delta,val_time,fold_change_pcc,0.5723072824677824,0.5481055122474352,0.5956228387327225,139,0.0945256354838549,0.07830807349445373,0.11057546256789197,139.0,0.001
lgb_delta,val_time,residual_pcc_vs_mu_ctx,0.5139183841816172,0.4886592027435262,0.5401870831577515,139,0.19045965017023858,0.16215091736306841,0.2213380596117416,139.0,0.001
lgb_delta,val_time,residual_pcc_vs_mu_drug,0.5405178501642839,0.5182655435818349,0.5606820889788933,139,0.09913081113792177,0.07337963610349889,0.12887208292809307,139.0,0.001
lgb_delta,val_time,residual_pcc_vs_batch_aware_mu_ctx,0.4284629288354117,0.39977483376750617,0.45535302191088933,139,0.42848247329324657,0.40006457497472797,0.4554187023008508,139.0,0.001
lgb_delta,val_time,abundance_pcc,0.99096232892991,0.9898315745738892,0.991965671161402,139,0.0012886903472043632,2.013900783133048e-05,0.002928644761796723,139.0,0.044
xgb_delta,val_chem_only,fold_change_pcc,0.4392187820609494,0.43263061516119,0.4460218814846524,1065,-0.047354175766008505,-0.051199274943848794,-0.04394900134800198,1065.0,0.001
xgb_delta,val_chem_only,residual_pcc_vs_mu_ctx,0.40403677272465627,0.39371334969676264,0.4142649813184683,1065,-0.04872484094547003,-0.05596632104897575,-0.042118344055701196,1065.0,0.001
