model,detect_rate_min,n_proteins,split,n_samples,fc_pcc_per_sample_mean,resid_ctx_pcc_per_sample_mean
blend_ens_delta_benchmark_w0.5,0.0,5243,val_chem_only,1065,0.44852471926788934,0.3855612827777801
blend_ens_delta_benchmark_w0.5,0.0,5243,val_strain_only,1333,0.3439963134677547,0.36322855036649687
blend_ens_delta_benchmark_w0.5,0.0,5243,val_both,269,0.26917365362347523,0.2863797355140573
blend_ens_delta_benchmark_w0.5,0.0,5243,val_time,139,0.5401324961553483,0.4423806404149381
per_context_mean_batch,0.0,5243,val_chem_only,1065,0.4865729578269579,0.4527616136701263
per_context_mean_batch,0.0,5243,val_strain_only,1333,0.2776685451993657,0.294778313594695
per_context_mean_batch,0.0,5243,val_both,269,0.245472330234014,0.2807811012469624
per_context_mean_batch,0.0,5243,val_time,139,0.4777816469839275,0.32345873401137853
control_anchor,0.0,5243,val_chem_only,1065,,0.23665709715070662
control_anchor,0.0,5243,val_strain_only,1333,,0.17857136698894546
control_anchor,0.0,5243,val_both,269,,0.22056879108287847
control_anchor,0.0,5243,val_time,139,,0.10772793724166874
blend_ens_delta_benchmark_w0.5,0.5,3889,val_chem_only,1065,0.44668054820801795,0.393410426714385
blend_ens_delta_benchmark_w0.5,0.5,3889,val_strain_only,1333,0.34310174322210846,0.3558502745178257
blend_ens_delta_benchmark_w0.5,0.5,3889,val_both,269,0.26925322911958566,0.2792193565148685
blend_ens_delta_benchmark_w0.5,0.5,3889,val_time,139,0.5394649943996571,0.4482349491134897
per_context_mean_batch,0.5,3889,val_chem_only,1065,0.48412836224025774,0.4591797045964651
per_context_mean_batch,0.5,3889,val_strain_only,1333,0.2739078395623878,0.2872208069174872
per_context_mean_batch,0.5,3889,val_both,269,0.2419996063216269,0.27374595359156845
per_context_mean_batch,0.5,3889,val_time,139,0.4743946184750095,0.3268742435187955
control_anchor,0.5,3889,val_chem_only,1065,,0.23753999653048816
control_anchor,0.5,3889,val_strain_only,1333,,0.15851194387359746
control_anchor,0.5,3889,val_both,269,,0.20180376220416626
control_anchor,0.5,3889,val_time,139,,0.10069866439696756
blend_ens_delta_benchmark_w0.5,0.9,2815,val_chem_only,1065,0.4332777260869976,0.385009221518683
blend_ens_delta_benchmark_w0.5,0.9,2815,val_strain_only,1333,0.3171188765132399,0.3322060462247644
blend_ens_delta_benchmark_w0.5,0.9,2815,val_both,269,0.23658535458473032,0.24602309587403154
blend_ens_delta_benchmark_w0.5,0.9,2815,val_time,139,0.527579058010994,0.45041774004317486
per_context_mean_batch,0.9,2815,val_chem_only,1065,0.4722342343257178,0.45294002115228094
per_context_mean_batch,0.9,2815,val_strain_only,1333,0.24017845643663294,0.2577619341397003
per_context_mean_batch,0.9,2815,val_both,269,0.19709053311928013,0.23568660774666725
per_context_mean_batch,0.9,2815,val_time,139,0.4569007726083383,0.31161678935906445
control_anchor,0.9,2815,val_chem_only,1065,,0.25188999164644643
control_anchor,0.9,2815,val_strain_only,1333,,0.1544886676911632
control_anchor,0.9,2815,val_both,269,,0.19972933567360085
control_anchor,0.9,2815,val_time,139,,0.12024645905420255
