split,feature,frac_cells_defined,n_samples_probed
train,d_ctx,0.841716,204
train,d_ctxb,0.756824,204
train,d_strain,0.92732,204
train,d_drug,0.90347,204
train,d_drug_time,0.837697,204
train,d_drug_strain,0.837786,204
train,d_batch,0.912304,204
train,d_batch_time,0.885902,204
train,d_plate,0.800264,204
train,d_instr,0.900938,204
train,d_time,0.937044,204
train,d_mtt,0.899904,204
train,y_ctxb,0.780809,204
train,y_mtt,0.9248,204
val_chem_only,d_ctx,0.846322,213
val_chem_only,d_ctxb,0.746496,213
val_chem_only,d_strain,0.929354,213
val_chem_only,d_drug,0.0,213
val_chem_only,d_drug_time,0.0,213
val_chem_only,d_drug_strain,0.0,213
val_chem_only,d_batch,0.896218,213
val_chem_only,d_batch_time,0.871152,213
val_chem_only,d_plate,0.805261,213
val_chem_only,d_instr,0.893902,213
val_chem_only,d_time,0.938584,213
val_chem_only,d_mtt,0.90284,213
val_chem_only,y_ctxb,0.770348,213
val_chem_only,y_mtt,0.928429,213
val_strain_only,d_ctx,0.0,223
val_strain_only,d_ctxb,0.0,223
val_strain_only,d_strain,0.0,223
val_strain_only,d_drug,0.907298,223
val_strain_only,d_drug_time,0.851648,223
val_strain_only,d_drug_strain,0.0,223
val_strain_only,d_batch,0.912939,223
val_strain_only,d_batch_time,0.88861,223
val_strain_only,d_plate,0.798418,223
val_strain_only,d_instr,0.90727,223
val_strain_only,d_time,0.938572,223
val_strain_only,d_mtt,0.902897,223
val_strain_only,y_ctxb,0.0,223
val_strain_only,y_mtt,0.928418,223
val_both,d_ctx,0.0,269
val_both,d_ctxb,0.0,269
val_both,d_strain,0.0,269
val_both,d_drug,0.0,269
val_both,d_drug_time,0.0,269
val_both,d_drug_strain,0.0,269
val_both,d_batch,0.895874,269
val_both,d_batch_time,0.8708,269
val_both,d_plate,0.803054,269
val_both,d_instr,0.895387,269
val_both,d_time,0.938581,269
val_both,d_mtt,0.902835,269
val_both,y_ctxb,0.0,269
val_both,y_mtt,0.928411,269
val_time,d_ctx,0.846241,139
val_time,d_ctxb,0.764589,139
val_time,d_strain,0.929464,139
val_time,d_drug,0.905262,139
val_time,d_drug_time,0.846511,139
val_time,d_drug_strain,0.842063,139
val_time,d_batch,0.915303,139
val_time,d_batch_time,0.890798,139
val_time,d_plate,0.803924,139
val_time,d_instr,0.904271,139
val_time,d_time,0.938485,139
val_time,d_mtt,0.902286,139
val_time,y_ctxb,0.793835,139
val_time,y_mtt,0.927802,139
