model,library,target,regime,feature,gain_share
lgb_delta,lgb,delta,full,c_ctrl,0.002591788147051588
lgb_delta,lgb,delta,full,c_ctrl_centered,0.003238921967689105
lgb_delta,lgb,delta,full,d_ctx,0.013164725207424762
lgb_delta,lgb,delta,full,d_ctxb,0.16850132657953037
lgb_delta,lgb,delta,full,d_strain,0.002883957665220011
lgb_delta,lgb,delta,full,d_drug,0.10250273133977682
lgb_delta,lgb,delta,full,d_drug_time,0.028146876851595413
lgb_delta,lgb,delta,full,d_drug_strain,0.32726656269829296
lgb_delta,lgb,delta,full,d_batch,0.006293171474645752
lgb_delta,lgb,delta,full,d_batch_time,0.0011811483583240522
lgb_delta,lgb,delta,full,d_plate,0.04266508844608034
lgb_delta,lgb,delta,full,d_instr,0.0007039424247084785
lgb_delta,lgb,delta,full,d_time,0.0007355988875889217
lgb_delta,lgb,delta,full,d_mtt,0.00599796534569587
lgb_delta,lgb,delta,full,y_ctxb,0.004116040039251877
lgb_delta,lgb,delta,full,y_mtt,0.0020346895209231936
lgb_delta,lgb,delta,full,prot_mean_y,0.00403381037592409
lgb_delta,lgb,delta,full,prot_sd_y,0.0011252168294675054
lgb_delta,lgb,delta,full,prot_detect,0.005743094183316444
lgb_delta,lgb,delta,full,prot_mean_d,0.0015773192994013932
lgb_delta,lgb,delta,full,prot_sd_d,0.00220880646983303
lgb_delta,lgb,delta,full,prot_mean_absd,0.0015527555356852772
lgb_delta,lgb,delta,full,pert_time_num,0.004923155984774325
lgb_delta,lgb,delta,full,temperature_num,0.0012807393696030718
lgb_delta,lgb,delta,full,well_row,0.005270736347119738
lgb_delta,lgb,delta,full,well_col,0.009527856474301545
lgb_delta,lgb,delta,full,ctrl_median,0.009370695320653653
lgb_delta,lgb,delta,full,ctrl_detect,0.010363627792103904
lgb_delta,lgb,delta,full,has_drug_prior,0.0
lgb_delta,lgb,delta,full,has_strain_prior,0.0
lgb_delta,lgb,delta,full,data_source,0.0011635087672134962
lgb_delta,lgb,delta,full,instrument,0.002557715260383824
lgb_delta,lgb,delta,full,Strains,0.014757667321008838
lgb_delta,lgb,delta,full,Medium,0.0017641456361831666
lgb_delta,lgb,delta,full,perturbation_no_concentration,0.04453446117493837
lgb_delta,lgb,delta,full,Yeast_cell_plate,0.13595896398752474
lgb_delta,lgb,delta,full,pert_id,0.03026118891676405
xgb_delta,xgb,delta,full,c_ctrl,0.0025558933731752893
xgb_delta,xgb,delta,full,c_ctrl_centered,0.0029809344053052574
xgb_delta,xgb,delta,full,d_ctx,0.015379561545675656
xgb_delta,xgb,delta,full,d_ctxb,0.15180478189797222
xgb_delta,xgb,delta,full,d_strain,0.003729899759562215
xgb_delta,xgb,delta,full,d_drug,0.1257621182405408
xgb_delta,xgb,delta,full,d_drug_time,0.03508403306816627
xgb_delta,xgb,delta,full,d_drug_strain,0.24809643700470532
xgb_delta,xgb,delta,full,d_batch,0.006355422814377197
xgb_delta,xgb,delta,full,d_batch_time,0.007963556397860432
xgb_delta,xgb,delta,full,d_plate,0.05294857905466473
xgb_delta,xgb,delta,full,d_instr,0.0010818239212528691
xgb_delta,xgb,delta,full,d_time,0.0010176449403127717
xgb_delta,xgb,delta,full,d_mtt,0.005108374806098136
xgb_delta,xgb,delta,full,y_ctxb,0.005315229718960126
xgb_delta,xgb,delta,full,y_mtt,0.0023773731012787544
xgb_delta,xgb,delta,full,prot_mean_y,0.004203573191910255
xgb_delta,xgb,delta,full,prot_sd_y,0.0010852865922905317
xgb_delta,xgb,delta,full,prot_detect,0.006245832701951351
xgb_delta,xgb,delta,full,prot_mean_d,0.0017325203866878688
xgb_delta,xgb,delta,full,prot_sd_d,0.00251951876490362
xgb_delta,xgb,delta,full,prot_mean_absd,0.0012220207604022332
xgb_delta,xgb,delta,full,pert_time_num,0.004531642554974846
xgb_delta,xgb,delta,full,temperature_num,0.0010742796454473156
xgb_delta,xgb,delta,full,well_row,0.018833669154190973
xgb_delta,xgb,delta,full,well_col,0.026121878462637006
xgb_delta,xgb,delta,full,ctrl_median,0.00963260249868375
xgb_delta,xgb,delta,full,ctrl_detect,0.008054150871438546
xgb_delta,xgb,delta,full,has_drug_prior,0.0
xgb_delta,xgb,delta,full,has_strain_prior,0.0
xgb_delta,xgb,delta,full,data_source,0.0009171416281224929
xgb_delta,xgb,delta,full,instrument,0.0015857557712838687
xgb_delta,xgb,delta,full,Strains,0.02014412138721439
xgb_delta,xgb,delta,full,Medium,0.0010010893705566298
xgb_delta,xgb,delta,full,perturbation_no_concentration,0.05389131567984532
xgb_delta,xgb,delta,full,Yeast_cell_plate,0.14903400326441985
xgb_delta,xgb,delta,full,pert_id,0.020607933263131123
cat_delta,cat,delta,full,c_ctrl,0.010713681328197052
cat_delta,cat,delta,full,c_ctrl_centered,0.007052603491766467
cat_delta,cat,delta,full,d_ctx,0.008970267630202623
cat_delta,cat,delta,full,d_ctxb,0.18953964425911538
cat_delta,cat,delta,full,d_strain,0.007798335494947604
cat_delta,cat,delta,full,d_drug,0.08183496390413571
cat_delta,cat,delta,full,d_drug_time,0.02502600557228569
cat_delta,cat,delta,full,d_drug_strain,0.22627018335245822
cat_delta,cat,delta,full,d_batch,0.015853107986823423
cat_delta,cat,delta,full,d_batch_time,0.0013073726313507208
cat_delta,cat,delta,full,d_plate,0.031475781146400136
cat_delta,cat,delta,full,d_instr,0.0010113685425071595
cat_delta,cat,delta,full,d_time,0.0012275175375464713
cat_delta,cat,delta,full,d_mtt,0.0006324612424728243
cat_delta,cat,delta,full,y_ctxb,0.021043210039748544
cat_delta,cat,delta,full,y_mtt,0.002086773130224591
cat_delta,cat,delta,full,prot_mean_y,0.008848026292520236
cat_delta,cat,delta,full,prot_sd_y,0.00010118451948086517
cat_delta,cat,delta,full,prot_detect,0.01819114420016104
cat_delta,cat,delta,full,prot_mean_d,0.0009331342794878436
cat_delta,cat,delta,full,prot_sd_d,0.002670657104195589
cat_delta,cat,delta,full,prot_mean_absd,0.0009260356941293899
cat_delta,cat,delta,full,pert_time_num,0.010705959142690787
cat_delta,cat,delta,full,temperature_num,0.0016759880941097577
cat_delta,cat,delta,full,well_row,0.0044063958714604485
cat_delta,cat,delta,full,well_col,0.016429894072929066
cat_delta,cat,delta,full,ctrl_median,0.006764521284175863
cat_delta,cat,delta,full,ctrl_detect,0.005015284702737597
cat_delta,cat,delta,full,has_drug_prior,0.0
cat_delta,cat,delta,full,has_strain_prior,0.0
cat_delta,cat,delta,full,data_source,0.019009560011520193
cat_delta,cat,delta,full,instrument,0.004264855618412707
cat_delta,cat,delta,full,Strains,0.03532857180912799
cat_delta,cat,delta,full,Medium,0.004403024797008388
cat_delta,cat,delta,full,perturbation_no_concentration,0.10454286446911
cat_delta,cat,delta,full,Yeast_cell_plate,0.08255648702718062
cat_delta,cat,delta,full,pert_id,0.04138313371937916
lgb_abs,lgb,abs,full,c_ctrl,0.4896384560793711
lgb_abs,lgb,abs,full,c_ctrl_centered,0.22825665013190066
lgb_abs,lgb,abs,full,d_ctx,5.7037820350805044e-05
lgb_abs,lgb,abs,full,d_ctxb,0.0006219249033580067
lgb_abs,lgb,abs,full,d_strain,7.012301122422055e-05
lgb_abs,lgb,abs,full,d_drug,0.0016258589886682733
lgb_abs,lgb,abs,full,d_drug_time,0.0006305525148923889
lgb_abs,lgb,abs,full,d_drug_strain,0.006240129350918289
lgb_abs,lgb,abs,full,d_batch,7.008071923088895e-05
lgb_abs,lgb,abs,full,d_batch_time,1.4666157842029015e-05
lgb_abs,lgb,abs,full,d_plate,0.00029566908485677724
lgb_abs,lgb,abs,full,d_instr,3.418680540352101e-05
lgb_abs,lgb,abs,full,d_time,5.667589259874899e-06
lgb_abs,lgb,abs,full,d_mtt,2.567582931195016e-05
lgb_abs,lgb,abs,full,y_ctxb,0.10133993517318161
lgb_abs,lgb,abs,full,y_mtt,0.15392717313971588
lgb_abs,lgb,abs,full,prot_mean_y,0.01169109115727334
lgb_abs,lgb,abs,full,prot_sd_y,0.0002459370734428158
lgb_abs,lgb,abs,full,prot_detect,0.00010463905085742444
lgb_abs,lgb,abs,full,prot_mean_d,3.436127059075513e-05
lgb_abs,lgb,abs,full,prot_sd_d,9.72531963863236e-05
lgb_abs,lgb,abs,full,prot_mean_absd,3.89892950974213e-05
lgb_abs,lgb,abs,full,pert_time_num,9.068811537196805e-05
lgb_abs,lgb,abs,full,temperature_num,1.9995416024491882e-05
lgb_abs,lgb,abs,full,well_row,0.00010696462965418436
lgb_abs,lgb,abs,full,well_col,0.00018036461106430592
lgb_abs,lgb,abs,full,ctrl_median,0.00013911348641491004
lgb_abs,lgb,abs,full,ctrl_detect,0.00016678084057514324
lgb_abs,lgb,abs,full,has_drug_prior,0.0
lgb_abs,lgb,abs,full,has_strain_prior,0.0
lgb_abs,lgb,abs,full,data_source,3.067423522273065e-05
lgb_abs,lgb,abs,full,instrument,9.426241856824215e-05
lgb_abs,lgb,abs,full,Strains,0.00014299758256833273
lgb_abs,lgb,abs,full,Medium,2.7756823822303798e-05
lgb_abs,lgb,abs,full,perturbation_no_concentration,0.0008557953087925956
lgb_abs,lgb,abs,full,Yeast_cell_plate,0.0025797132190109426
lgb_abs,lgb,abs,full,pert_id,0.0004988349697754493
xgb_abs,xgb,abs,full,c_ctrl,0.26406143368248775
xgb_abs,xgb,abs,full,c_ctrl_centered,0.4418035072336599
xgb_abs,xgb,abs,full,d_ctx,4.057673527445987e-05
xgb_abs,xgb,abs,full,d_ctxb,0.0005721896150665098
xgb_abs,xgb,abs,full,d_strain,5.749810654538731e-05
xgb_abs,xgb,abs,full,d_drug,0.002083489319555257
xgb_abs,xgb,abs,full,d_drug_time,0.0006894279479318426
xgb_abs,xgb,abs,full,d_drug_strain,0.005202365157072491
xgb_abs,xgb,abs,full,d_batch,8.596236701864165e-05
xgb_abs,xgb,abs,full,d_batch_time,1.7764582974497772e-05
xgb_abs,xgb,abs,full,d_plate,0.0002400398611797274
xgb_abs,xgb,abs,full,d_instr,2.5399668369434896e-05
xgb_abs,xgb,abs,full,d_time,1.0868187062128072e-05
xgb_abs,xgb,abs,full,d_mtt,2.6223554356560764e-05
xgb_abs,xgb,abs,full,y_ctxb,0.26307526023972555
xgb_abs,xgb,abs,full,y_mtt,0.012037877803689359
xgb_abs,xgb,abs,full,prot_mean_y,0.0015472374364551673
xgb_abs,xgb,abs,full,prot_sd_y,0.00023169975386112162
xgb_abs,xgb,abs,full,prot_detect,0.002738178399838859
xgb_abs,xgb,abs,full,prot_mean_d,3.7959475706102324e-05
xgb_abs,xgb,abs,full,prot_sd_d,0.00010206668870378078
xgb_abs,xgb,abs,full,prot_mean_absd,7.55410598809824e-05
xgb_abs,xgb,abs,full,pert_time_num,7.575733751043357e-05
xgb_abs,xgb,abs,full,temperature_num,2.152259573197738e-05
xgb_abs,xgb,abs,full,well_row,0.00010933502693228916
xgb_abs,xgb,abs,full,well_col,0.00017865663118957879
xgb_abs,xgb,abs,full,ctrl_median,0.0001558894359580107
xgb_abs,xgb,abs,full,ctrl_detect,0.0001267100810340918
xgb_abs,xgb,abs,full,has_drug_prior,0.0
xgb_abs,xgb,abs,full,has_strain_prior,0.0
xgb_abs,xgb,abs,full,data_source,2.7912722630369124e-05
xgb_abs,xgb,abs,full,instrument,3.498076288813069e-05
