model,n_rounds,total_score,m1_abundance,m2_fold_change,m3_s1_chem,m3_s2_strain,m3_s3_both,m3_time,m4_dep
lgb_delta,25,0.3851066924986187,0.7973146158529772,0.28406737425501805,0.32592955315351035,0.23370831533806424,0.15369047160160831,0.4678803810302874,0.23241618868717936
xgb_delta,25,0.40883134070116356,0.8253494724073205,0.31001981677954593,0.3783637229418493,0.22894751217631382,0.15953152280247732,0.4632790711014372,0.2730743061196928
cat_delta,25,0.385528209366628,0.8055988470417741,0.29532157394661274,0.39272069637766027,0.1824361843963746,0.14749012413670254,0.4219889279177054,0.14145435428185238
lgb_abs,25,0.19312844780438346,0.653917045435112,0.08964605166183263,0.05641555749353587,0.0943910062137501,0.03656437908189497,0.10101393528055067,0.05786594684646867
xgb_abs,25,0.17042800295992083,0.5097549134475596,0.09901779392543861,0.06158023897210321,0.1064640016778287,0.037558731162972626,0.10324987132675068,0.06146587069153429
cat_abs,25,0.18173720976417573,0.6595847314016039,0.07017460308600056,0.04023636108117057,0.0838209042784778,0.03474700598945929,0.06028810097223706,0.054268085846806695
ens_delta,25,0.4038859906553698,0.8175592573579337,0.30516564710343363,0.3752079885365142,0.22305953516681737,0.15614484343131171,0.45868662864753507,0.2737529812663191
ens_abs,25,0.1864237611346092,0.630283042979228,0.08663523345597157,0.052916980878501926,0.09520962150042916,0.03651471239358138,0.08809265297311825,0.05705310861298949
ens_all,25,0.256836201300655,0.7521243443172502,0.14274376641682443,0.1320896160182997,0.1418475886035608,0.06067655592817351,0.17529523846174827,0.08278720378261273
lgb_delta,50,0.38622415648139996,0.7781398530406918,0.28940183553533755,0.33177244318188004,0.23775365270975618,0.15046611271845262,0.49812925132324815,0.23821479218029848
xgb_delta,50,0.41133628370759256,0.8184705245615679,0.31440694996875856,0.3861309406740747,0.23322470257330183,0.15247229492713132,0.4973172105301185,0.25359674761503004
cat_delta,50,0.3695804282053603,0.7221883485796141,0.28664413152014834,0.38868788909007174,0.18749469480224704,0.12437914888750369,0.4631022510717072,0.17742277665952183
lgb_abs,50,0.3208276764367705,0.6691091640112139,0.24309870007217646,0.25509655114156854,0.21643708204528592,0.1329405099069303,0.33260303230557453,0.17294529736974948
xgb_abs,50,0.29811563471190977,0.5089319208205383,0.25743570290027246,0.26292734697002174,0.23228433440259616,0.13941225253778217,0.34700420071074045,0.17214331771568578
cat_abs,50,0.2681888132640069,0.6638856735333152,0.18535441216479026,0.17953773481186455,0.16515915490951655,0.10476562396564272,0.22355522204894365,0.07435310542281533
ens_delta,50,0.401593039179777,0.796896343341629,0.3064546753415749,0.38124205015745105,0.22715132013088468,0.14294959316426223,0.49304009261105786,0.24243886659248656
ens_abs,50,0.3051764735010026,0.6448694771754098,0.2345790582555473,0.23599952953975417,0.2123085887624412,0.12637875827705072,0.3082203961239192,0.12332464243092565
ens_all,50,0.3880322861887056,0.8083514021478871,0.2952436117022391,0.3280256820392913,0.241320893766942,0.16097292568686628,0.41729146602653094,0.1953713617330371
lgb_delta,100,0.39088485325653105,0.7658135997321096,0.2997623043250923,0.33075096827327355,0.25312331940793004,0.1597443619374467,0.5163042477980746,0.24408538411638223
xgb_delta,100,0.414583021112333,0.8127226895216884,0.3221387782687992,0.3740171250256095,0.2504347831532593,0.16130629936764618,0.516647308899002,0.25431453183378616
cat_delta,100,0.31875710465353724,0.5984132750731007,0.26158107054832386,0.29469730218879736,0.19724766477121636,0.07952921821809919,0.48565709722299455,0.14061745675557275
lgb_abs,100,0.38719901210007873,0.6698311399870562,0.3231963864147754,0.37065318740658704,0.26655515726541296,0.197526977804624,0.4720915960491871,0.2302217974376615
