model,split,n_samples,abs_pcc_per_sample_mean,fc_pcc_per_sample_mean,fc_pcc_pooled,resid_ctx_pcc_per_sample_mean,resid_drug_pcc_per_sample_mean,resid_ctx_batch_aware_pcc_per_sample_mean,batch_attributable_gap
lgb_delta,val_chem_only,1065,0.9892860227058153,0.4389816584558255,0.1974321628135754,0.39958638208331854,0.42760188852383524,0.18873265739166958,0.21085372469164895
lgb_delta,val_strain_only,1333,0.9882901331027217,0.27794489322907995,0.33383470923228253,0.31656381684128715,0.25287332185213207,0.36685133486898974,-0.050287518027702593
lgb_delta,val_both,269,0.9873614634971369,0.16548202701121906,0.09132856434681716,0.21743249275200693,0.17811712703896662,0.25686163622789027,-0.03942914347588333
lgb_delta,val_time,139,0.99096232892991,0.5723072824677824,0.7245060334020523,0.5139183841816172,0.5405178501642839,0.4284629288354117,0.08545545534620547
xgb_delta,val_chem_only,1065,0.9900124070298095,0.4392187820609494,0.2772808412403171,0.40403677272465627,0.43347266998317757,0.17163349580072856,0.2324032769239277
xgb_delta,val_strain_only,1333,0.9888293900572058,0.275367160742956,0.33527226669700605,0.3122193225730975,0.24844814227518175,0.36278048169913457,-0.05056115912603709
xgb_delta,val_both,269,0.9887487766245746,0.17253417037331037,0.11620515390239855,0.21892734360625424,0.18348636140323588,0.2633626706901398,-0.04443532708388556
xgb_delta,val_time,139,0.9909859341091883,0.5716484605756008,0.7239353390799572,0.5135894843433507,0.539319225629129,0.4278761673993898,0.08571331694396095
cat_delta,val_chem_only,1065,0.9735737822558791,0.32007651851463687,0.301999717169938,0.1676724428477977,0.22919161515701378,-0.10840624934351122,0.2760786921913089
cat_delta,val_strain_only,1333,0.9874005793468322,0.261745694350847,0.1964816909390581,0.29857337541651535,0.22158665306227907,0.349942563860079,-0.05136918844356364
cat_delta,val_both,269,0.9757613688888502,0.11848473503798267,0.12122470666546334,0.03134866504278109,0.0328206732095372,-0.07933821218847596,0.11068687723125706
cat_delta,val_time,139,0.9872470929696255,0.45393213275365174,0.5171446019929478,0.32456086134583745,0.3797533986474031,0.1799689274455632,0.14459193390027425
lgb_abs,val_chem_only,1065,0.9906106034223061,0.4391061134836011,0.25986245947009384,0.41619364679426446,0.4361948332854305,0.18395356079822134,0.23224008599604312
lgb_abs,val_strain_only,1333,0.9859403767782503,0.2789049215141651,0.3269016953805085,0.3181114500005127,0.2535201889763084,0.36334434733512405,-0.04523289733461133
lgb_abs,val_both,269,0.9871361309176898,0.1776221847903331,0.11751802341207122,0.2263989706354182,0.18845589728029952,0.2626278612653077,-0.03622889062988949
lgb_abs,val_time,139,0.9904594854713784,0.5607377828908354,0.7157791249046453,0.49865701504027193,0.5277932689385686,0.41343008273811543,0.0852269323021565
xgb_abs,val_chem_only,1065,0.8991435121535728,0.43296783004818784,0.2793689759168849,0.40116903751875965,0.4280454669175665,0.16869528517627927,0.23247375234248038
xgb_abs,val_strain_only,1333,0.822535786058058,0.28508724627235876,0.33492057019381966,0.32368022125175844,0.26004267923301705,0.369294578862429,-0.045614357610670564
xgb_abs,val_both,269,0.8584759266042151,0.18288437581944744,0.13940434425080797,0.22888807747019113,0.19337274368210292,0.2662548242420177,-0.03736674677182655
xgb_abs,val_time,139,0.9089161708913218,0.5610079731434208,0.7122576734527665,0.4985212100258426,0.5276134328338994,0.41292222641693416,0.08559898360890844
cat_abs,val_chem_only,1065,0.9779666982336169,0.31715034973245065,0.3069757206831199,0.16982055769608295,0.23380729569089695,-0.08760865633200016,0.2574292140280831
cat_abs,val_strain_only,1333,0.9832602104848155,0.2637689552515671,0.18981236339509402,0.2907851061381334,0.21794066832946088,0.3267846067107704,-0.03599950057263701
cat_abs,val_both,269,0.9730802210118332,0.15422954880487394,0.1712902943503598,0.063899653844234,0.07852927748644267,-0.057267475056375326,0.12116712890060932
cat_abs,val_time,139,0.9872027030679693,0.48945653861386496,0.4784540534275661,0.3950049065148132,0.4280619837163901,0.2857709849821457,0.10923392153266748
ens_delta,val_chem_only,1065,0.988409683822319,0.3862929890494095,0.33522082204794734,0.29477158882425814,0.33903153930169455,-0.022341569902380395,0.31711315872663853
ens_delta,val_strain_only,1333,0.9885172769703096,0.27681695560777986,0.3082340804645583,0.3147705187181241,0.2470365346568766,0.3677438133055753,-0.0529732945874512
ens_delta,val_both,269,0.9865901694382373,0.14661159515801941,0.14494232527355289,0.11894812248313884,0.09867710764503301,0.05819334929846425,0.060754773184674586
ens_delta,val_time,139,0.9907977409025956,0.5419025034218432,0.6816154729658661,0.4592588092020146,0.5022739283279467,0.36509369044052037,0.09416511876149425
ens_abs,val_chem_only,1065,0.9815084035074728,0.39549396521717384,0.3470890169990206,0.3175223378472376,0.35919618170430034,0.006224439321016655,0.311297898526221
ens_abs,val_strain_only,1333,0.9766723480759283,0.2846028943428446,0.30453371079195507,0.32094493834298726,0.2534904672500316,0.366888387901877,-0.04594344955888974
ens_abs,val_both,269,0.9741796936831119,0.17520521171159656,0.18465096056129449,0.14243496455862753,0.13222673049812034,0.07812645948435304,0.06430850507427449
ens_abs,val_time,139,0.9854014966700032,0.5484353765566633,0.6667990048733059,0.47566670436934555,0.5104331698565246,0.3858695873134337,0.08979711705591187
ens_all,val_chem_only,1065,0.9874457653693187,0.3963080997127977,0.34498458238401813,0.3116407386730773,0.3548766018232299,-0.008861083459411447,0.32050182213248873
ens_all,val_strain_only,1333,0.9888320580361293,0.2847449325516977,0.30954012472328096,0.32259363168384203,0.25452893198505594,0.37361844922557597,-0.051024817541733936
ens_all,val_both,269,0.9857706624923154,0.16515195465955743,0.16924509480412075,0.13496185766321417,0.119486824412441,0.07315143044971018,0.06181042721350399
ens_all,val_time,139,0.9902633612997553,0.5530273773483556,0.684193910422236,0.4784727079921816,0.5157400849999091,0.3884403480420628,0.09003235995011882
lgb_delta_ABLATION_fullonly,val_chem_only,1065,0.990544850890077,0.4169672655979005,0.3789742418388869,0.37792178650573843,0.40891611963517904,0.1039644231411892,0.27395736336454923
lgb_delta_ABLATION_fullonly,val_strain_only,1333,0.9887278721924717,0.2605801189301052,0.3062196932842416,0.30670613089373494,0.22540806575350156,0.36160957388349313,-0.05490344298975819
lgb_delta_ABLATION_fullonly,val_both,269,0.9892327708386751,0.15642332708604936,0.12754363419189405,0.2204268407832403,0.1552993019025744,0.3015158351783499,-0.08108899439510961
lgb_delta_ABLATION_fullonly,val_time,139,0.99096232892991,0.5723072824677824,0.7245060334020523,0.5139183841816172,0.5405178501642839,0.4284629288354117,0.08545545534620547
per_context_mean_batch,val_chem_only,1065,0.9932785068544112,0.4865729578269579,0.46846202829186073,0.4527616136701263,0.48771401719193713,0.0003665841192326415,0.45239502955089367
