regime,candidate,n_iterations,n_dev_samples,fit_seconds,sel_objective,m2_pcc_per_sample,resid_pcc_vs_mu_ctx,resid_pcc_vs_mu_drug,m2_pcc_pooled,param_num_leaves,param_learning_rate,param_min_data_in_leaf,param_feature_fraction,param_bagging_fraction,param_bagging_freq,param_lambda_l2,param_objective,param_max_depth,param_alpha
full,base,50,207,11.8,0.513132,0.523473,0.387284,0.473535,0.645851,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
full,base,100,207,11.8,0.524503,0.534001,0.406489,0.490549,0.655338,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
full,base,200,207,11.8,0.530069,0.539309,0.41403,0.498278,0.660861,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
full,base,350,207,11.8,0.532305,0.541451,0.416974,0.501297,0.662595,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
full,base,500,207,11.8,0.532992,0.542086,0.417928,0.502551,0.663,63,0.06,200,0.8,0.8,1,1.0,regression,-1,
full,shallow,50,207,9.1,0.51285,0.522976,0.389298,0.474399,0.645594,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
full,shallow,100,207,9.1,0.523829,0.533282,0.406866,0.48954,0.65496,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
full,shallow,200,207,9.1,0.528337,0.537612,0.412636,0.495628,0.657867,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
full,shallow,350,207,9.1,0.531166,0.540349,0.415872,0.499534,0.658912,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
full,shallow,500,207,9.1,0.532116,0.541255,0.416884,0.501131,0.659328,31,0.08,200,0.8,0.8,1,1.0,regression,-1,
full,deep,50,207,16.6,0.51723,0.527304,0.393678,0.479606,0.644853,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
full,deep,100,207,16.6,0.526833,0.536222,0.409643,0.493797,0.653726,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
full,deep,200,207,16.6,0.530863,0.540026,0.415268,0.499862,0.658015,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
full,deep,350,207,16.6,0.532078,0.541158,0.416942,0.50194,0.659202,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
full,deep,500,207,16.6,0.531989,0.541046,0.416823,0.502241,0.66004,127,0.06,400,0.8,0.8,1,1.0,regression,-1,
full,deep_slow,50,207,17.6,0.508122,0.5211,0.354676,0.453905,0.645272,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
full,deep_slow,100,207,17.6,0.518203,0.52829,0.394329,0.480694,0.649424,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
full,deep_slow,200,207,17.6,0.527955,0.537299,0.411052,0.495341,0.658172,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
full,deep_slow,350,207,17.6,0.532503,0.541636,0.417077,0.501801,0.661917,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
full,deep_slow,500,207,17.6,0.533899,0.542975,0.418775,0.503818,0.662863,127,0.03,400,0.8,0.8,1,1.0,regression,-1,
full,strong_l2,50,207,12.0,0.51261,0.522951,0.386655,0.473108,0.645105,63,0.06,200,0.8,0.8,1,20.0,regression,-1,
