model,split,n_samples,resid_pcc_mu_ctx_batch_blind,resid_pcc_mu_ctx_batch_aware,delta_attributable_to_batch
global_mean,val_chem_only,1065,0.12114800042923257,0.02955030374009854,0.09159769668913403
global_mean,val_strain_only,1333,0.18736343585973628,0.19817952672542338,-0.010816090865687106
global_mean,val_both,269,0.15932709797423145,0.16926982371860488,-0.009942725744373437
global_mean,val_time,139,0.07845152636678784,0.0125583869284174,0.06589313943837044
per_context_mean,val_chem_only,1065,0.14532100559079608,0.03296763604898028,0.1123533695418158
per_context_mean,val_strain_only,1333,0.2086997203224525,0.220055123461293,-0.011355403138840509
per_context_mean,val_both,269,0.1780815492550436,0.1864461026084112,-0.00836455335336761
per_context_mean,val_time,139,0.10816294432035119,0.03131236500847001,0.07685057931188118
per_context_mean_batch,val_chem_only,1065,0.4527616136701263,0.0003665841192326415,0.45239502955089367
per_context_mean_batch,val_strain_only,1333,0.294778313594695,0.30887658172008065,-0.014098268125385671
per_context_mean_batch,val_both,269,0.2807811012469624,0.29489420924915166,-0.01411310800218929
per_context_mean_batch,val_time,139,0.32345873401137853,-1.9544457834923986e-05,0.32347827846921345
control_anchor,val_chem_only,1065,0.23665709715070662,0.22008236292209135,0.016574734228615273
control_anchor,val_strain_only,1333,0.17857136698894546,0.27528157540253306,-0.0967102084135876
control_anchor,val_both,269,0.22056879108287847,0.3178789242530882,-0.09731013317020976
control_anchor,val_time,139,0.10772793724166874,0.1706903934514478,-0.06296245620977906
