model,split,n_samples,abs_pcc_pooled,abs_pcc_per_protein_mean,abs_r2_pooled,fc_pcc_pooled,fc_pcc_per_sample_mean,resid_ctx_pcc_per_sample_mean,resid_ctx_pcc_pooled,resid_drug_pcc_per_sample_mean,resid_drug_pcc_pooled
global_mean,val_chem_only,1065,0.9480504904226147,-1.9627156690075516e-09,0.8987151227000479,0.1764466775399409,0.1681634273222861,0.12114800042923257,0.14244156023405752,0.16560445613156954,0.1737545500806639
global_mean,val_strain_only,1333,0.9550528546185241,-1.7349276475376423e-10,0.9116951810711941,0.18497849427394858,0.19894479391947914,0.18736343585973628,0.1758720471580828,0.2197851512133179,0.2490550562990816
global_mean,val_both,269,0.947804010136601,,0.8982033567321033,0.16606403708594794,0.16123940206891565,0.15932709797423145,0.1636260487993295,0.17163625077767145,0.17401425908300686
global_mean,val_time,139,0.9517705546094939,-2.408989942947618e-08,0.9058460937746109,0.16260230553574664,0.17881673656945216,0.07845152636678784,0.0974056925458189,0.1808061529625762,0.15804210345609845
per_context_mean,val_chem_only,1065,0.9591987722645595,0.44951366735296927,0.9200282124471888,0.16810877646479752,0.1836223501110545,0.14532100559079608,0.1441803195326018,0.1786367884172076,0.16381374813000432
per_context_mean,val_strain_only,1333,0.9600443948539789,0.3016569582278444,0.9212456451760064,0.17604221476519763,0.19696296171784639,0.2086997203224525,0.1855607758625875,0.2182447826194625,0.24550173126943609
per_context_mean,val_both,269,0.9535376465321,0.31819043824852533,0.9091099614933525,0.1542555277602186,0.15797779151396074,0.1780815492550436,0.17121557955230718,0.1688432065180023,0.16249959714064025
per_context_mean,val_time,139,0.9655683703755499,0.46942895750532954,0.9322880049694314,0.17276516666592995,0.21999654483373535,0.10816294432035119,0.10594780242500629,0.21718513708711282,0.16618684325800281
per_context_mean_batch,val_chem_only,1065,0.992852492067428,0.8613054685500694,0.9857514255897847,0.46846202829186073,0.4865729578269579,0.4527616136701263,0.44900178038902383,0.48771401719193713,0.46756028380580184
per_context_mean_batch,val_strain_only,1333,0.9792903815620061,0.6699609088472652,0.9585463360293766,0.25867221655763356,0.2776685451993657,0.294778313594695,0.27079482984685366,0.30039941821131116,0.34176050431246574
per_context_mean_batch,val_both,269,0.9826313416926201,0.757656371654939,0.9655159109131162,0.24913441136121284,0.245472330234014,0.2807811012469624,0.2780888830874327,0.2672066007820275,0.26444607724952507
per_context_mean_batch,val_time,139,0.9867350825175301,0.7670099511743215,0.9736189513037447,0.40243547505828425,0.4777816469839275,0.32345873401137853,0.3025900491387011,0.44138703902636206,0.3158969708976237
control_anchor,val_chem_only,1065,0.9914517334132419,0.8402806814336342,0.982872516344908,,,0.23665709715070662,0.23104503768878637,0.12025118564466072,0.0952407253948781
control_anchor,val_strain_only,1333,0.9883635738963237,0.7423137228874342,0.9767272123255886,,,0.17857136698894546,0.1312150770538138,0.10821984362401137,0.3104812725808573
control_anchor,val_both,269,0.9908669102148778,0.8044633763961178,0.9817194172562943,,,0.22056879108287847,0.18301602034313944,0.11367433328567561,0.08392705958345728
control_anchor,val_time,139,0.9843306587805019,0.7358028049787521,0.9681009847507612,,,0.10772793724166874,0.07067205770852604,0.06353354966511875,0.02319796539492262
