protein,det_rate_train_val,det_rate_test,log2_mean_train_val,log2_sd_train_val,log2_mean_test,log2_sd_test
1-Oct,0.9583612413485153,0.9620565783565335,19.579996,0.7454269,19.480875,0.7086548
AAC1,0.6771600803750837,0.7471935339021104,20.110727,1.1270179,20.61217,1.3098677
AAC3,0.7382228175932127,0.7891782667265379,19.25879,0.95703816,19.292389,0.8987542
AAD10,0.3645903103371288,0.20139200718455322,22.154594,1.6960534,21.89613,1.4951892
AAD14,0.5365036838580041,0.2819937135159407,22.758907,0.90527904,22.717428,1.0441376
AAD16,0.9919624916275954,0.9966322406825325,21.4835,0.7881385,21.241749,0.72618985
AAD4,0.05782540745702166,0.061293219577907496,17.062872,1.6186672,17.172129,1.7441447
AAD6,0.40299173922750614,0.21351594072743602,22.250816,1.0574753,22.249537,1.0483303
AAH1,0.9469747711542755,0.9243376740008981,21.868496,1.3738177,21.88041,1.4356602
AAP1,0.9970975664210762,0.9988774135608441,22.39902,0.61727667,22.225996,0.5536172
AAR2,0.3298727394507703,0.3221823080377189,19.244532,0.46865326,19.311466,0.53429115
AAT1,0.9720919848180397,0.9815895823978447,20.251696,0.68926394,20.05419,0.6229862
AAT2,1.0,1.0,25.176561,0.60098815,25.160389,0.5676201
ABD1,0.9851529359231972,0.9950606196677144,21.363447,0.46228513,21.262457,0.44739994
ABF1,0.9848180397410137,0.9928154467894028,21.45958,0.82883567,21.502031,0.8392363
ABF2,0.9998883679392722,1.0,25.046738,0.5752487,25.213043,0.60172665
ABP1,0.9997767358785443,1.0,24.597445,0.50140864,24.516226,0.46829405
ABP140,0.9974324626032597,0.9988774135608441,22.91756,0.62171715,22.948242,0.59102094
ABZ1,0.9773386916722483,0.9905702739110912,20.328426,0.68910325,20.419796,0.634976
ABZ2,0.942397856664434,0.9290525370453525,20.333399,0.91494864,20.228018,0.8366364
ACA1,0.0,0.0,,,,
ACB1,0.9998883679392722,1.0,26.67944,0.68600804,26.65333,0.7052804
ACC1,1.0,1.0,26.100485,0.546715,26.107243,0.5191038
ACE2,0.3428220584951998,0.24000898069151325,16.18342,0.8717133,16.069317,0.82072306
ACF2,0.9730966733645903,0.9779973057925461,20.63777,0.7503983,20.59794,0.7402308
ACF4,0.589194016521545,0.5985630893578806,17.447378,0.83812565,17.529339,0.8289273
ACH1,1.0,1.0,25.288649,1.1397442,25.186388,1.2407744
ACK1,0.9552355436481358,0.9553210597215985,18.04653,1.0252179,18.0067,1.0174228
ACL4,0.9860459924090199,0.9950606196677144,21.803774,0.5986622,21.889791,0.57744586
ACM1,0.3386916722482697,0.3556353839245622,17.626451,1.0126148,17.762089,1.0009342
ACO1,1.0,1.0,26.917612,0.7016284,27.086847,0.7338063
ACO2,0.9996651038178165,0.9995509654243376,24.225954,0.57299864,24.15347,0.5412488
ACP1,0.9096896628711766,0.9122137404580153,19.958633,2.4732258,20.278423,2.687948
ACS1,0.9643893726278188,0.9629546475078581,23.45834,2.5810497,23.713284,2.843888
ACS2,0.9998883679392722,1.0,26.25077,0.5448833,26.12025,0.5366224
ACT1,1.0,1.0,28.23827,0.48109803,28.281113,0.5064303
ADA2,0.9637195802634516,0.9739559946115851,20.495747,0.47737122,20.487581,0.45112267
ADD37,0.797722705961152,0.7227211495285137,18.970734,0.80576944,18.990547,0.83538437
ADD66,0.9906229068988613,0.9925909295015716,22.125845,0.6639148,22.217789,0.6793678
ADE1,0.9998883679392722,1.0,25.14117,0.5929638,25.056324,0.58687663
ADE12,0.9998883679392722,1.0,25.067019,0.6006401,24.919027,0.55203855
ADE13,0.9998883679392722,1.0,25.13557,0.57718956,25.07023,0.5191763
ADE16,1.0,1.0,24.484592,0.6195219,24.541103,0.67192036
ADE17,1.0,1.0,26.101473,0.6024383,26.017754,0.56503433
ADE2,0.9998883679392722,1.0,24.801702,0.6333202,24.677755,0.565158
ADE3,1.0,1.0,25.613203,0.52705675,25.456194,0.5130128
ADE4,0.9995534717570886,0.9988774135608441,24.534563,0.5478756,24.433002,0.5653525
ADE57,1.0,1.0,25.533583,0.64614934,25.533728,0.5514883
ADE6,0.9997767358785443,1.0,24.817492,0.47959477,24.795752,0.42956358
ADE8,0.9825853985264568,0.9894476874719353,21.813179,0.7495264,21.782467,0.6197537
ADF1,0.43569993302076354,0.4176021553659632,19.665272,1.1368686,19.921131,1.0742624
