compound,in_train,in_test,max_tanimoto_to_train,nearest_train_compound
Cisplatin,True,True,0.0278,Clotrimazole
Water,True,True,0.0323,FCCP
NaCl,True,True,0.0588,1-10 Phenanthroline monohydrate
DMSO,True,True,0.0769,SDS
Sorbitol,True,True,0.0952,CHX
FCCP,True,True,0.1286,Clomiphene citrate
H2O2,False,True,0.1429,EDTA
1-10 Phenanthroline monohydrate,True,True,0.1429,Clotrimazole
Tunicamycin,True,True,0.1429,Anisomycin
Hydroxyurea,True,True,0.1429,EDTA
Clotrimazole,True,True,0.1429,1-10 Phenanthroline monohydrate
Staurosporine,True,True,0.1491,Geldanamycin
Trichostatin A,True,True,0.1493,4-Hydroxytamoxifen
Valinomycin,True,True,0.1552,Artemisinin
Fluconazole,False,True,0.1552,Clotrimazole
Emodin,True,True,0.1552,Sulfometuron methyl
Neomycin B,False,True,0.1553,Amphotericin B
Nigericin,True,True,0.1567,Amphotericin B
LY 294002 hydrochloride,True,True,0.1605,Amiodarone hydrochloride
(S)-(+)-Camptothecin,False,True,0.1605,Sulfometuron methyl
Cyclopiazonic acid,True,True,0.1633,U-73122
"(1R, 2S, 5R) - (-) - Menthol",True,True,0.1667,CHX
CHX,True,True,0.1667,"(1R, 2S, 5R) - (-) - Menthol"
EDTA,True,True,0.1698,Clomiphene citrate
Geldanamycin,True,True,0.1736,Rapamycin
Doxycycline hyclate,False,True,0.1753,Cyclopiazonic acid
Harmine hydrochloride,True,True,0.1774,Anisomycin
Abietic acid,False,True,0.1831,Parthenolide
G418,False,True,0.1835,Amphotericin B
Rapamycin,True,True,0.1867,Amphotericin B
SDS,True,True,0.1875,Pentamidine isethionate
Hygromycin B,False,True,0.1897,Tunicamycin
U-73122,True,True,0.1948,Desipramine hydrochloride
Parthenolide,True,True,0.197,Artemisinin
Artemisinin,True,True,0.197,Parthenolide
Anisomycin,True,True,0.2073,Wortmannin
Wortmannin,True,True,0.2073,Anisomycin
Brefeldin A,True,True,0.21,Oligomycin
Sulfometuron methyl,True,True,0.2113,Nocodazole
Oligomycin,True,True,0.2164,Nystatin dihydrate
Nocodazole,True,True,0.2254,Hoechst 33258
Hoechst 33258,True,True,0.2254,Nocodazole
MMS,False,True,0.2308,SDS
Pentamidine isethionate,True,True,0.2807,Dyclonine hydrochloride
Amiodarone hydrochloride,True,True,0.2911,Clomiphene citrate
Plumbagin,False,True,0.2927,Emodin
Haloperidol,True,True,0.3279,Dyclonine hydrochloride
Desipramine hydrochloride,True,True,0.3393,Trifluoperazine dihydrochloride
Trifluoperazine dihydrochloride,True,True,0.3393,Desipramine hydrochloride
4-Hydroxytamoxifen,True,True,0.4032,Clomiphene citrate
Clomiphene citrate,True,True,0.4032,4-Hydroxytamoxifen
Dyclonine hydrochloride,True,True,0.4286,Raloxifene hydrochloride
Raloxifene hydrochloride,True,True,0.4286,Dyclonine hydrochloride
Amphotericin B,True,True,0.8605,Nystatin dihydrate
Nystatin dihydrate,True,True,0.8605,Amphotericin B
Tamoxifen,False,True,0.8974,4-Hydroxytamoxifen
