resource,recommended_by_organisers,version_or_access,licence,role,used_in_scored_runs,key_counts
PubChem (PUG-REST),True,"PubChem PUG-REST, accessed 2026-08-05 during this project",PubChem data are in the public domain (US NLM/NCBI); no licence restriction on reuse,compound entity representation: canonical SMILES + CID for every chemical perturbation label,True,"{""n_perturbation_labels_queried"": 57, ""n_resolved_to_a_molecule"": 56, ""n_non_molecule_labels"": 1, ""n_unresolved"": 0, ""coverage_of_molecular_labels_pct"": 100.0, ""resolution_source_breakdown"": {""pubchem"": 56, ""not_a_molecule"": 1}, ""n_distinct_cids"": 56}"
RDKit,True,RDKit 2026.03.5 (pinned in the environment table),BSD-3-Clause,"molecular descriptors, ECFP4 fingerprints, ETKDGv3 conformers and MMFF94-optimised 3D descriptors from the PubChem SMILES",True,"{""n_2d_descriptors"": 29, ""n_descriptor_missing_cells"": 0}"
ChEMBL (web services),False,"ChEMBL web services, accessed 2026-08-07","CC BY-SA 3.0 -- SHARE-ALIKE, i.e. the derived ITPV artefact inherits the same terms",target binding potency (Kd/Ki/IC50/EC50) used to build the Inferred Target Potency Vector (ITPV),True,"{""n_perturbations_resolved_to_chembl"": 54, ""n_with_activity_evidence"": 52, ""n_activity_records_raw"": 22942, ""n_activity_records_usable"": 13963, ""n_distinct_targets"": 1921, ""n_target_uniprot_accessions"": 1057}"
OrthoDB,False,"OrthoDB v11 series, Eukaryota level, accessed 2026-08-07",publicly available; academic reuse permitted,orthology projection of non-yeast ChEMBL targets onto the measured yeast proteome axis,True,"{""target_to_protein_links_total"": 1837, ""via_orthodb"": 1680, ""via_gene_symbol"": 148, ""direct_yeast_target"": 9, ""itpv_nonzero_density"": 0.002994803430472041, ""n_perturbations_with_nonzero_itpv"": 44, ""n_proteins_with_nonzero_itpv"": 419}"
UniProt,False,"UniProt 2025 via REST, accessed 2026-08-07",CC BY 4.0,accession and gene-symbol normalisation between ChEMBL targets and the yeast protein roster,True,"{""n_accessions_touched"": 1057}"
STRING,False,"STRING v12.0 (taxon 4932), confidence >= 400",CC BY 4.0,"protein association network: adjacency for the graph neural member, spectral embedding, and the protein functional clusters used by the hierarchical-shrinkage meta-learner",True,"{""n_proteins_mapped"": 5185, ""n_proteins_unmapped"": 58, ""n_edges_in_species_file"": 2824842, ""n_edges_above_cutoff_undirected"": 243685, ""n_isolated_nodes"": 72, ""giant_component_size"": 5171, ""spectral_dims_kept"": 64, ""jaccard_vs_train_coresponse_graph"": 0.0323635324030706}"
iMM904 genome-scale metabolic reconstruction,False,"published iMM904 model (Mo, Palsson & Herrgard 2009)","published model, academic reuse",stoichiometric mass-balance penalty (core sub-network) in the mechanism loss,True,"{""n_reactions"": 44, ""n_reactions_with_measured_enzyme"": 44, ""n_balanced_metabolites"": 40, ""stoichiometry_shape"": [40, 44]}"
CORUM / Complex Portal + yeast complex literature,False,"manually curated roster assembled 2026-08-07 from CORUM, Complex Portal and the yeast complex literature",CORUM: CC BY-NC 4.0 (non-commercial); Complex Portal: CC0,co-complex consistency penalty in the mechanism loss,True,"{""n_complexes"": 20, ""n_co_complex_edges"": 2615}"
1011 Yeast Genomes Project (1002genomes.u-strasbg.fr/files/),True,not yet used in any scored run; declared as the planned source for the next stage,publicly released variant call set (Peter et al. 2018),PLANNED strain entity representation: variant-derived features for the unseen strain CRD (S2/S3 extrapolation),False,"{""n_strain_features_used_in_scored_runs"": 0}"
SGD S288C reference genome,True,not yet used in any scored run,SGD data are freely available for academic use,"PLANNED proxy reference for DHY210, per the organisers' recommendation",False,"{""n_strain_features_used_in_scored_runs"": 0}"
